id	name	layer	head_shard	weight_id	orig_weight_size	new_weight_size	q_mode	q_wbits	q_gs	ws_pattern	ws_density	ws_storage	act_density	attn_pattern	attn_density
L1_X	Identity	1	None	None	0	0									
L1_K_S0	K	1	0	L1_WK_S0	2097152	2097152									
L1_V_S0	V	1	0	L1_WV_S0	2097152	2097152									
L1_K_S1	K	1	1	L1_WK_S1	2097152	2097152									
L1_V_S1	V	1	1	L1_WV_S1	2097152	2097152									
L1_K_S2	K	1	2	L1_WK_S2	2097152	2097152									
L1_V_S2	V	1	2	L1_WV_S2	2097152	2097152									
L1_K_S3	K	1	3	L1_WK_S3	2097152	2097152									
L1_V_S3	V	1	3	L1_WV_S3	2097152	2097152									
L1_K_S4	K	1	4	L1_WK_S4	2097152	2097152									
L1_V_S4	V	1	4	L1_WV_S4	2097152	2097152									
L1_K_S5	K	1	5	L1_WK_S5	2097152	2097152									
L1_V_S5	V	1	5	L1_WV_S5	2097152	2097152									
L1_K_S6	K	1	6	L1_WK_S6	2097152	2097152									
L1_V_S6	V	1	6	L1_WV_S6	2097152	2097152									
L1_K_S7	K	1	7	L1_WK_S7	2097152	2097152									
L1_V_S7	V	1	7	L1_WV_S7	2097152	2097152									
L1_K_write_S0	K_write	1	0	None	0	0									
L1_V_write_S0	V_write	1	0	None	0	0									
L1_K_write_S1	K_write	1	1	None	0	0									
L1_V_write_S1	V_write	1	1	None	0	0									
L1_K_write_S2	K_write	1	2	None	0	0									
L1_V_write_S2	V_write	1	2	None	0	0									
L1_K_write_S3	K_write	1	3	None	0	0									
L1_V_write_S3	V_write	1	3	None	0	0									
L1_K_write_S4	K_write	1	4	None	0	0									
L1_V_write_S4	V_write	1	4	None	0	0									
L1_K_write_S5	K_write	1	5	None	0	0									
L1_V_write_S5	V_write	1	5	None	0	0									
L1_K_write_S6	K_write	1	6	None	0	0									
L1_V_write_S6	V_write	1	6	None	0	0									
L1_K_write_S7	K_write	1	7	None	0	0									
L1_V_write_S7	V_write	1	7	None	0	0									
L1_Q_S0	Q	1	0	L1_WQ_S0	2097152	2097152									
L1_QK_S0	QK	1	0	None	0	0									
L1_Softmax_S0	Softmax	1	0	None	0	0									
L1_SV_S0	SV	1	0	None	0	0									
L1_O_S0	O	1	0	L1_WO_S0	2097152	2097152									
L1_Q_S1	Q	1	1	L1_WQ_S1	2097152	2097152									
L1_QK_S1	QK	1	1	None	0	0									
L1_Softmax_S1	Softmax	1	1	None	0	0									
L1_SV_S1	SV	1	1	None	0	0									
L1_O_S1	O	1	1	L1_WO_S1	2097152	2097152									
L1_Q_S2	Q	1	2	L1_WQ_S2	2097152	2097152									
L1_QK_S2	QK	1	2	None	0	0									
L1_Softmax_S2	Softmax	1	2	None	0	0									
L1_SV_S2	SV	1	2	None	0	0									
L1_O_S2	O	1	2	L1_WO_S2	2097152	2097152									
L1_Q_S3	Q	1	3	L1_WQ_S3	2097152	2097152									
L1_QK_S3	QK	1	3	None	0	0									
L1_Softmax_S3	Softmax	1	3	None	0	0									
L1_SV_S3	SV	1	3	None	0	0									
L1_O_S3	O	1	3	L1_WO_S3	2097152	2097152									
L1_Q_S4	Q	1	4	L1_WQ_S4	2097152	2097152									
L1_QK_S4	QK	1	4	None	0	0									
L1_Softmax_S4	Softmax	1	4	None	0	0									
L1_SV_S4	SV	1	4	None	0	0									
L1_O_S4	O	1	4	L1_WO_S4	2097152	2097152									
L1_Q_S5	Q	1	5	L1_WQ_S5	2097152	2097152									
L1_QK_S5	QK	1	5	None	0	0									
L1_Softmax_S5	Softmax	1	5	None	0	0									
L1_SV_S5	SV	1	5	None	0	0									
L1_O_S5	O	1	5	L1_WO_S5	2097152	2097152									
L1_Q_S6	Q	1	6	L1_WQ_S6	2097152	2097152									
L1_QK_S6	QK	1	6	None	0	0									
L1_Softmax_S6	Softmax	1	6	None	0	0									
L1_SV_S6	SV	1	6	None	0	0									
L1_O_S6	O	1	6	L1_WO_S6	2097152	2097152									
L1_Q_S7	Q	1	7	L1_WQ_S7	2097152	2097152									
L1_QK_S7	QK	1	7	None	0	0									
L1_Softmax_S7	Softmax	1	7	None	0	0									
L1_SV_S7	SV	1	7	None	0	0									
L1_O_S7	O	1	7	L1_WO_S7	2097152	2097152									
L1_O_allreduce	AllReduce	1	None	None	0	0									
L1_Add1	Add	1	None	None	0	0									
L1_LN2	LN	1	None	None	0	0									
L1_FFN_W1_S0	FFN_W1	1	None	L1_W1_S0	5636096	5636096									
L1_FFN_W3_S0	FFN_W3	1	None	L1_W3_S0	5636096	5636096									
L1_Act_S0	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S0	FFN_W2	1	None	L1_W2_S0	5636096	5636096									
L1_FFN_W1_S1	FFN_W1	1	None	L1_W1_S1	5636096	5636096									
L1_FFN_W3_S1	FFN_W3	1	None	L1_W3_S1	5636096	5636096									
L1_Act_S1	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S1	FFN_W2	1	None	L1_W2_S1	5636096	5636096									
L1_FFN_W1_S2	FFN_W1	1	None	L1_W1_S2	5636096	5636096									
L1_FFN_W3_S2	FFN_W3	1	None	L1_W3_S2	5636096	5636096									
L1_Act_S2	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S2	FFN_W2	1	None	L1_W2_S2	5636096	5636096									
L1_FFN_W1_S3	FFN_W1	1	None	L1_W1_S3	5636096	5636096									
L1_FFN_W3_S3	FFN_W3	1	None	L1_W3_S3	5636096	5636096									
L1_Act_S3	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S3	FFN_W2	1	None	L1_W2_S3	5636096	5636096									
L1_FFN_W1_S4	FFN_W1	1	None	L1_W1_S4	5636096	5636096									
L1_FFN_W3_S4	FFN_W3	1	None	L1_W3_S4	5636096	5636096									
L1_Act_S4	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S4	FFN_W2	1	None	L1_W2_S4	5636096	5636096									
L1_FFN_W1_S5	FFN_W1	1	None	L1_W1_S5	5636096	5636096									
L1_FFN_W3_S5	FFN_W3	1	None	L1_W3_S5	5636096	5636096									
L1_Act_S5	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S5	FFN_W2	1	None	L1_W2_S5	5636096	5636096									
L1_FFN_W1_S6	FFN_W1	1	None	L1_W1_S6	5636096	5636096									
L1_FFN_W3_S6	FFN_W3	1	None	L1_W3_S6	5636096	5636096									
L1_Act_S6	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S6	FFN_W2	1	None	L1_W2_S6	5636096	5636096									
L1_FFN_W1_S7	FFN_W1	1	None	L1_W1_S7	5636096	5636096									
L1_FFN_W3_S7	FFN_W3	1	None	L1_W3_S7	5636096	5636096									
L1_Act_S7	SwiGLU	1	None	None	0	0									
L1_FFN_W2_S7	FFN_W2	1	None	L1_W2_S7	5636096	5636096									
L1_FFN_allreduce	AllReduce	1	None	None	0	0									
L1_Add2	Add	1	None	None	0	0									
L2_LN1	LN	2	None	None	0	0									
L2_X	Identity	2	None	None	0	0									
L2_K_S0	K	2	0	L2_WK_S0	2097152	2097152									
L2_V_S0	V	2	0	L2_WV_S0	2097152	2097152									
L2_K_S1	K	2	1	L2_WK_S1	2097152	2097152									
L2_V_S1	V	2	1	L2_WV_S1	2097152	2097152									
L2_K_S2	K	2	2	L2_WK_S2	2097152	2097152									
L2_V_S2	V	2	2	L2_WV_S2	2097152	2097152									
L2_K_S3	K	2	3	L2_WK_S3	2097152	2097152									
L2_V_S3	V	2	3	L2_WV_S3	2097152	2097152									
L2_K_S4	K	2	4	L2_WK_S4	2097152	2097152									
L2_V_S4	V	2	4	L2_WV_S4	2097152	2097152									
L2_K_S5	K	2	5	L2_WK_S5	2097152	2097152									
L2_V_S5	V	2	5	L2_WV_S5	2097152	2097152									
L2_K_S6	K	2	6	L2_WK_S6	2097152	2097152									
L2_V_S6	V	2	6	L2_WV_S6	2097152	2097152									
L2_K_S7	K	2	7	L2_WK_S7	2097152	2097152									
L2_V_S7	V	2	7	L2_WV_S7	2097152	2097152									
L2_K_write_S0	K_write	2	0	None	0	0									
L2_V_write_S0	V_write	2	0	None	0	0									
L2_K_write_S1	K_write	2	1	None	0	0									
L2_V_write_S1	V_write	2	1	None	0	0									
L2_K_write_S2	K_write	2	2	None	0	0									
L2_V_write_S2	V_write	2	2	None	0	0									
L2_K_write_S3	K_write	2	3	None	0	0									
L2_V_write_S3	V_write	2	3	None	0	0									
L2_K_write_S4	K_write	2	4	None	0	0									
L2_V_write_S4	V_write	2	4	None	0	0									
L2_K_write_S5	K_write	2	5	None	0	0									
L2_V_write_S5	V_write	2	5	None	0	0									
L2_K_write_S6	K_write	2	6	None	0	0									
L2_V_write_S6	V_write	2	6	None	0	0									
L2_K_write_S7	K_write	2	7	None	0	0									
L2_V_write_S7	V_write	2	7	None	0	0									
L2_Q_S0	Q	2	0	L2_WQ_S0	2097152	2097152									
L2_QK_S0	QK	2	0	None	0	0									
L2_Softmax_S0	Softmax	2	0	None	0	0									
L2_SV_S0	SV	2	0	None	0	0									
L2_O_S0	O	2	0	L2_WO_S0	2097152	2097152									
L2_Q_S1	Q	2	1	L2_WQ_S1	2097152	2097152									
L2_QK_S1	QK	2	1	None	0	0									
L2_Softmax_S1	Softmax	2	1	None	0	0									
L2_SV_S1	SV	2	1	None	0	0									
L2_O_S1	O	2	1	L2_WO_S1	2097152	2097152									
L2_Q_S2	Q	2	2	L2_WQ_S2	2097152	2097152									
L2_QK_S2	QK	2	2	None	0	0									
L2_Softmax_S2	Softmax	2	2	None	0	0									
L2_SV_S2	SV	2	2	None	0	0									
L2_O_S2	O	2	2	L2_WO_S2	2097152	2097152									
L2_Q_S3	Q	2	3	L2_WQ_S3	2097152	2097152									
L2_QK_S3	QK	2	3	None	0	0									
L2_Softmax_S3	Softmax	2	3	None	0	0									
L2_SV_S3	SV	2	3	None	0	0									
L2_O_S3	O	2	3	L2_WO_S3	2097152	2097152									
L2_Q_S4	Q	2	4	L2_WQ_S4	2097152	2097152									
L2_QK_S4	QK	2	4	None	0	0									
L2_Softmax_S4	Softmax	2	4	None	0	0									
L2_SV_S4	SV	2	4	None	0	0									
L2_O_S4	O	2	4	L2_WO_S4	2097152	2097152									
L2_Q_S5	Q	2	5	L2_WQ_S5	2097152	2097152									
L2_QK_S5	QK	2	5	None	0	0									
L2_Softmax_S5	Softmax	2	5	None	0	0									
L2_SV_S5	SV	2	5	None	0	0									
L2_O_S5	O	2	5	L2_WO_S5	2097152	2097152									
L2_Q_S6	Q	2	6	L2_WQ_S6	2097152	2097152									
L2_QK_S6	QK	2	6	None	0	0									
L2_Softmax_S6	Softmax	2	6	None	0	0									
L2_SV_S6	SV	2	6	None	0	0									
L2_O_S6	O	2	6	L2_WO_S6	2097152	2097152									
L2_Q_S7	Q	2	7	L2_WQ_S7	2097152	2097152									
L2_QK_S7	QK	2	7	None	0	0									
L2_Softmax_S7	Softmax	2	7	None	0	0									
L2_SV_S7	SV	2	7	None	0	0									
L2_O_S7	O	2	7	L2_WO_S7	2097152	2097152									
L2_O_allreduce	AllReduce	2	None	None	0	0									
L2_Add1	Add	2	None	None	0	0									
L2_LN2	LN	2	None	None	0	0									
L2_FFN_W1_S0	FFN_W1	2	None	L2_W1_S0	5636096	5636096									
L2_FFN_W3_S0	FFN_W3	2	None	L2_W3_S0	5636096	5636096									
L2_Act_S0	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S0	FFN_W2	2	None	L2_W2_S0	5636096	5636096									
L2_FFN_W1_S1	FFN_W1	2	None	L2_W1_S1	5636096	5636096									
L2_FFN_W3_S1	FFN_W3	2	None	L2_W3_S1	5636096	5636096									
L2_Act_S1	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S1	FFN_W2	2	None	L2_W2_S1	5636096	5636096									
L2_FFN_W1_S2	FFN_W1	2	None	L2_W1_S2	5636096	5636096									
L2_FFN_W3_S2	FFN_W3	2	None	L2_W3_S2	5636096	5636096									
L2_Act_S2	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S2	FFN_W2	2	None	L2_W2_S2	5636096	5636096									
L2_FFN_W1_S3	FFN_W1	2	None	L2_W1_S3	5636096	5636096									
L2_FFN_W3_S3	FFN_W3	2	None	L2_W3_S3	5636096	5636096									
L2_Act_S3	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S3	FFN_W2	2	None	L2_W2_S3	5636096	5636096									
L2_FFN_W1_S4	FFN_W1	2	None	L2_W1_S4	5636096	5636096									
L2_FFN_W3_S4	FFN_W3	2	None	L2_W3_S4	5636096	5636096									
L2_Act_S4	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S4	FFN_W2	2	None	L2_W2_S4	5636096	5636096									
L2_FFN_W1_S5	FFN_W1	2	None	L2_W1_S5	5636096	5636096									
L2_FFN_W3_S5	FFN_W3	2	None	L2_W3_S5	5636096	5636096									
L2_Act_S5	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S5	FFN_W2	2	None	L2_W2_S5	5636096	5636096									
L2_FFN_W1_S6	FFN_W1	2	None	L2_W1_S6	5636096	5636096									
L2_FFN_W3_S6	FFN_W3	2	None	L2_W3_S6	5636096	5636096									
L2_Act_S6	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S6	FFN_W2	2	None	L2_W2_S6	5636096	5636096									
L2_FFN_W1_S7	FFN_W1	2	None	L2_W1_S7	5636096	5636096									
L2_FFN_W3_S7	FFN_W3	2	None	L2_W3_S7	5636096	5636096									
L2_Act_S7	SwiGLU	2	None	None	0	0									
L2_FFN_W2_S7	FFN_W2	2	None	L2_W2_S7	5636096	5636096									
L2_FFN_allreduce	AllReduce	2	None	None	0	0									
L2_Add2	Add	2	None	None	0	0									
L3_LN1	LN	3	None	None	0	0									
L3_X	Identity	3	None	None	0	0									
L3_K_S0	K	3	0	L3_WK_S0	2097152	2097152									
L3_V_S0	V	3	0	L3_WV_S0	2097152	2097152									
L3_K_S1	K	3	1	L3_WK_S1	2097152	2097152									
L3_V_S1	V	3	1	L3_WV_S1	2097152	2097152									
L3_K_S2	K	3	2	L3_WK_S2	2097152	2097152									
L3_V_S2	V	3	2	L3_WV_S2	2097152	2097152									
L3_K_S3	K	3	3	L3_WK_S3	2097152	2097152									
L3_V_S3	V	3	3	L3_WV_S3	2097152	2097152									
L3_K_S4	K	3	4	L3_WK_S4	2097152	2097152									
L3_V_S4	V	3	4	L3_WV_S4	2097152	2097152									
L3_K_S5	K	3	5	L3_WK_S5	2097152	2097152									
L3_V_S5	V	3	5	L3_WV_S5	2097152	2097152									
L3_K_S6	K	3	6	L3_WK_S6	2097152	2097152									
L3_V_S6	V	3	6	L3_WV_S6	2097152	2097152									
L3_K_S7	K	3	7	L3_WK_S7	2097152	2097152									
L3_V_S7	V	3	7	L3_WV_S7	2097152	2097152									
L3_K_write_S0	K_write	3	0	None	0	0									
L3_V_write_S0	V_write	3	0	None	0	0									
L3_K_write_S1	K_write	3	1	None	0	0									
L3_V_write_S1	V_write	3	1	None	0	0									
L3_K_write_S2	K_write	3	2	None	0	0									
L3_V_write_S2	V_write	3	2	None	0	0									
L3_K_write_S3	K_write	3	3	None	0	0									
L3_V_write_S3	V_write	3	3	None	0	0									
L3_K_write_S4	K_write	3	4	None	0	0									
L3_V_write_S4	V_write	3	4	None	0	0									
L3_K_write_S5	K_write	3	5	None	0	0									
L3_V_write_S5	V_write	3	5	None	0	0									
L3_K_write_S6	K_write	3	6	None	0	0									
L3_V_write_S6	V_write	3	6	None	0	0									
L3_K_write_S7	K_write	3	7	None	0	0									
L3_V_write_S7	V_write	3	7	None	0	0									
L3_Q_S0	Q	3	0	L3_WQ_S0	2097152	2097152									
L3_QK_S0	QK	3	0	None	0	0									
L3_Softmax_S0	Softmax	3	0	None	0	0									
L3_SV_S0	SV	3	0	None	0	0									
L3_O_S0	O	3	0	L3_WO_S0	2097152	2097152									
L3_Q_S1	Q	3	1	L3_WQ_S1	2097152	2097152									
L3_QK_S1	QK	3	1	None	0	0									
L3_Softmax_S1	Softmax	3	1	None	0	0									
L3_SV_S1	SV	3	1	None	0	0									
L3_O_S1	O	3	1	L3_WO_S1	2097152	2097152									
L3_Q_S2	Q	3	2	L3_WQ_S2	2097152	2097152									
L3_QK_S2	QK	3	2	None	0	0									
L3_Softmax_S2	Softmax	3	2	None	0	0									
L3_SV_S2	SV	3	2	None	0	0									
L3_O_S2	O	3	2	L3_WO_S2	2097152	2097152									
L3_Q_S3	Q	3	3	L3_WQ_S3	2097152	2097152									
L3_QK_S3	QK	3	3	None	0	0									
L3_Softmax_S3	Softmax	3	3	None	0	0									
L3_SV_S3	SV	3	3	None	0	0									
L3_O_S3	O	3	3	L3_WO_S3	2097152	2097152									
L3_Q_S4	Q	3	4	L3_WQ_S4	2097152	2097152									
L3_QK_S4	QK	3	4	None	0	0									
L3_Softmax_S4	Softmax	3	4	None	0	0									
L3_SV_S4	SV	3	4	None	0	0									
L3_O_S4	O	3	4	L3_WO_S4	2097152	2097152									
L3_Q_S5	Q	3	5	L3_WQ_S5	2097152	2097152									
L3_QK_S5	QK	3	5	None	0	0									
L3_Softmax_S5	Softmax	3	5	None	0	0									
L3_SV_S5	SV	3	5	None	0	0									
L3_O_S5	O	3	5	L3_WO_S5	2097152	2097152									
L3_Q_S6	Q	3	6	L3_WQ_S6	2097152	2097152									
L3_QK_S6	QK	3	6	None	0	0									
L3_Softmax_S6	Softmax	3	6	None	0	0									
L3_SV_S6	SV	3	6	None	0	0									
L3_O_S6	O	3	6	L3_WO_S6	2097152	2097152									
L3_Q_S7	Q	3	7	L3_WQ_S7	2097152	2097152									
L3_QK_S7	QK	3	7	None	0	0									
L3_Softmax_S7	Softmax	3	7	None	0	0									
L3_SV_S7	SV	3	7	None	0	0									
L3_O_S7	O	3	7	L3_WO_S7	2097152	2097152									
L3_O_allreduce	AllReduce	3	None	None	0	0									
L3_Add1	Add	3	None	None	0	0									
L3_LN2	LN	3	None	None	0	0									
L3_FFN_W1_S0	FFN_W1	3	None	L3_W1_S0	5636096	5636096									
L3_FFN_W3_S0	FFN_W3	3	None	L3_W3_S0	5636096	5636096									
L3_Act_S0	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S0	FFN_W2	3	None	L3_W2_S0	5636096	5636096									
L3_FFN_W1_S1	FFN_W1	3	None	L3_W1_S1	5636096	5636096									
L3_FFN_W3_S1	FFN_W3	3	None	L3_W3_S1	5636096	5636096									
L3_Act_S1	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S1	FFN_W2	3	None	L3_W2_S1	5636096	5636096									
L3_FFN_W1_S2	FFN_W1	3	None	L3_W1_S2	5636096	5636096									
L3_FFN_W3_S2	FFN_W3	3	None	L3_W3_S2	5636096	5636096									
L3_Act_S2	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S2	FFN_W2	3	None	L3_W2_S2	5636096	5636096									
L3_FFN_W1_S3	FFN_W1	3	None	L3_W1_S3	5636096	5636096									
L3_FFN_W3_S3	FFN_W3	3	None	L3_W3_S3	5636096	5636096									
L3_Act_S3	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S3	FFN_W2	3	None	L3_W2_S3	5636096	5636096									
L3_FFN_W1_S4	FFN_W1	3	None	L3_W1_S4	5636096	5636096									
L3_FFN_W3_S4	FFN_W3	3	None	L3_W3_S4	5636096	5636096									
L3_Act_S4	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S4	FFN_W2	3	None	L3_W2_S4	5636096	5636096									
L3_FFN_W1_S5	FFN_W1	3	None	L3_W1_S5	5636096	5636096									
L3_FFN_W3_S5	FFN_W3	3	None	L3_W3_S5	5636096	5636096									
L3_Act_S5	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S5	FFN_W2	3	None	L3_W2_S5	5636096	5636096									
L3_FFN_W1_S6	FFN_W1	3	None	L3_W1_S6	5636096	5636096									
L3_FFN_W3_S6	FFN_W3	3	None	L3_W3_S6	5636096	5636096									
L3_Act_S6	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S6	FFN_W2	3	None	L3_W2_S6	5636096	5636096									
L3_FFN_W1_S7	FFN_W1	3	None	L3_W1_S7	5636096	5636096									
L3_FFN_W3_S7	FFN_W3	3	None	L3_W3_S7	5636096	5636096									
L3_Act_S7	SwiGLU	3	None	None	0	0									
L3_FFN_W2_S7	FFN_W2	3	None	L3_W2_S7	5636096	5636096									
L3_FFN_allreduce	AllReduce	3	None	None	0	0									
L3_Add2	Add	3	None	None	0	0									
L4_LN1	LN	4	None	None	0	0									
L4_X	Identity	4	None	None	0	0									
L4_K_S0	K	4	0	L4_WK_S0	2097152	2097152									
L4_V_S0	V	4	0	L4_WV_S0	2097152	2097152									
L4_K_S1	K	4	1	L4_WK_S1	2097152	2097152									
L4_V_S1	V	4	1	L4_WV_S1	2097152	2097152									
